file_path	size_in_bytes	type	label	source_image_label	associated_annotation_method	associated_protocol
data/DEF/metadata/TS_045.st	1764682720	http://bia/Image	Tilt series 45	['Frames 45_001_-0.0', 'Frames 45_002_2.0', 'Frames 45_003_-2.0', 'Frames 45_004_-4.0', 'Frames 45_005_4.0', 'Frames 45_006_6.0', 'Frames 45_007_-6.0', 'Frames 45_008_-8.0', 'Frames 45_009_8.0', 'Frames 45_010_10.0', 'Frames 45_011_-10.0', 'Frames 45_012_-12.0', 'Frames 45_013_12.0', 'Frames 45_014_14.0', 'Frames 45_015_-14.0', 'Frames 45_016_-16.0', 'Frames 45_017_16.0', 'Frames 45_018_18.0', 'Frames 45_019_-18.0', 'Frames 45_020_-20.0', 'Frames 45_021_20.0', 'Frames 45_022_22.0', 'Frames 45_023_-22.0', 'Frames 45_024_-24.0', 'Frames 45_025_24.0', 'Frames 45_026_26.0', 'Frames 45_027_-26.0', 'Frames 45_028_-28.0', 'Frames 45_029_28.0', 'Frames 45_030_30.0', 'Frames 45_031_-30.0', 'Frames 45_032_-32.0', 'Frames 45_033_32.0', 'Frames 45_034_34.0', 'Frames 45_035_-34.0', 'Frames 45_036_-36.0', 'Frames 45_037_36.0', 'Frames 45_038_38.0', 'Frames 45_039_-38.0', 'Frames 45_040_-40.0', 'Frames 45_041_40.0', 'Frames 45_042_42.0', 'Frames 45_043_-42.0', 'Frames 45_044_-44.0', 'Frames 45_045_44.0', 'Frames 45_046_46.0', 'Frames 45_047_-46.0', 'Frames 45_048_-48.0', 'Frames 45_049_48.0', 'Frames 45_050_50.0', 'Frames 45_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_045.xf	2263					
data/DEF/metadata/mdocs_modified/TS_026.mdoc	25174					
data/DEF/metadata/mdocs_modified/TS_027.mdoc	28039					
data/DEF/metadata/mdocs_modified/TS_028.mdoc	17767					
data/DEF/metadata/mdocs_modified/TS_029.mdoc	24641					
data/DEF/metadata/mdocs_modified/TS_030.mdoc	22299					
data/DEF/metadata/mdocs_modified/TS_034.mdoc	28047					
data/DEF/metadata/mdocs_modified/TS_037.mdoc	19545					
data/DEF/metadata/mdocs_modified/TS_041.mdoc	20581					
data/DEF/metadata/mdocs_modified/TS_043.mdoc	22861					
data/DEF/metadata/mdocs_modified/TS_045.mdoc	17777					
